Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Diversey Bridge to Belmont Harbor,Belmont to Second Flagpole,Lake Front - South Lagoon,Behind the Chess Pavilion,N Dearborn Pkwy Climb,Lake Front Sandy Path,New Fullerton Path,N. Ave Bridge to Belmont Sign,Div to Belmont Sprint.,3 miles - Lakeshore Drive,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,Irving Park to Montrose,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Norwestern - Sheridan (running north),NU to Baha'i Temple,NU sheridan Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Heading north,Sheridan Hill to Gillson Park,Northwestern - Lakefront Southbound,Vendra 1 - Evanston Beach,Rounding Calvary Cemetery - South,Rounding Calvary Cemetery - North,Prime Sidewalk,Premium Sidewalk,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Arrington Lagoon Loop,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakefill South,Northwestern - Lakefront Southbound,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Heading north,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Heading north,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Hamilton to Lee 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delwood to Casey,Lowell to South Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,NU sheridan Rd,Hamilton to Lee 400m,Vendra 1 - Evanston Beach,Lake Dash,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Prime Sidewalk,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,ERC Water Station 2,From Kenilworth to Gillson,Prime Sidewalk,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/South Blvd Saunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwestern - Sheridan (running north),Lakefill South,Northwestern - Lakefront Southbound,Evanston Flying Turkey 5k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Diversey Bridge to Belmont Harbor,Div to Belmont Sprint.,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Heading north,Sheridan Hill to Gillson Park,From Kenilworth to Gillson,Prime Sidewalk,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton to Lee 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton to Lee 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granville to Beach!,Hollywood to Balmoral Run,Foster to Lawrence,Lawrence to Wilson LFP Run,Wilson track lap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,,,,
Michigan ave- balbo to Roosevelt ,Michigan Ave Chicago RNR,35th St. Bridge East,McCormick Place Sprint North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,
Vendra 1 - Evanston Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Premium Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Shore (Irving to Roscoe),"Lakeshore pedestrian path, Addison to Aldine",Downhill Belmont Harbor,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern - Lakefront Northbound,NU to Bahai,NU sheridan Rd,Vendra 1 - Evanston Beach,Lake Dash,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern - Lakefront Northbound,NU sheridan Rd,Vendra 1 - Evanston Beach,Hamilton to Lee 400m,Lake Dash,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Diversey Bridge to Belmont Harbor,Div to Belmont Sprint.,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,,,,,,
Recreation Drive Sprint,Tennis Court Tree Lines,Irving Park to Montrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Rounding Calvary Cemetery - South,Rounding Calvary Cemetery - North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Vendra 2 - Evanston Beach,Vendra 1 - Evanston Beach,SE Evanston Lakefront 5K,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Lee to Hamilton 400m,Arrington Lagoon Loop,Hamilton to Lee 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Rounding Calvary Cemetery - South,Rounding Calvary Cemetery - North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,,,,
Premium Sidewalk,Prime Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Hibachi Harbor🔥🥵,Recreation Drive Sprint,Tennis Court Tree Lines,Belmont to Montrose,Irving Park to Montrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS - Hot Lap,ETHS Mile,ETHS - Hot Lap,,,,,,,,,,,,,,,,,,,,,
Northwestern - Lakefront Southbound,Vendra 1 - Evanston Beach,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Rounding Calvary Cemetery - South,Rounding Calvary Cemetery - North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Road Climb,Lakefront : south blvd to Greenleaf,Vendra 2 - Evanston Beach,Northwestern - Lakefront Northbound,Heading north,Lee to Hamilton 400m,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Div to Belmont Sprint.,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Hibachi Harbor🔥🥵,Rocky Rumble Tumble Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Div to Belmont Sprint.,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Bikeway,Lake Dash,Dawes Park 400m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Hill to Gillson Park,Premium Sidewalk,Prime Sidewalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakeshore pedestrian path, Addison to Aldine",Lake Shore (Irving to Roscoe),Downhill Belmont Harbor,Div to Belmont Sprint.,"Lakeshore pedestrian path, Barry to Addison",Recreation Drive Sprint,Belmont Harbor to Irving Park Rd,Tennis Court Tree Lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson track lap,Wilson Track Mile ,Wilson Track Mile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Rumble Tumble Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
